Two subjects; indoors; 3 feet
==========
456	75	72	75	76	76	76	79	78	76	76	77	74	71	76	73	71	80	99	86	77	73	75	73	76	84	100	90	79	94	80	68	68	92	92	86	87	106	92	70	70	93	90	92	85	101	97	79	70	91	91	91	92	100	96	87	68	88	90	90	93	92	87	87	74
457	80	77	78	74	79	79	79	81	82	81	78	76	77	79	74	75	85	101	89	77	78	80	75	74	85	104	92	81	98	85	69	69	95	92	87	86	106	97	74	70	95	97	95	83	102	101	80	71	95	92	93	95	100	99	91	76	90	94	96	98	98	95	92	74
457	73	74	76	77	72	75	78	76	81	77	79	77	74	76	75	72	83	100	89	78	75	76	72	72	89	96	89	78	93	88	73	68	89	90	86	81	101	102	75	68	93	95	93	81	96	104	85	72	94	93	91	92	100	99	95	76	86	93	92	94	97	96	91	74
457	74	76	78	76	74	76	76	79	78	78	75	75	73	76	74	74	80	101	86	77	75	78	73	74	84	103	90	78	91	92	72	69	94	93	85	79	99	103	75	69	94	92	92	85	95	107	84	71	90	92	90	90	98	99	91	74	85	91	90	93	97	93	91	78
457	74	76	79	76	74	78	77	80	80	76	77	74	73	75	74	70	85	99	92	78	74	74	73	75	88	104	87	77	90	92	72	70	93	93	87	81	100	103	73	66	91	95	94	80	93	106	84	72	91	88	91	89	95	99	92	74	84	94	90	91	95	95	89	78
457	76	74	77	70	76	73	79	74	82	82	79	76	74	75	76	72	84	97	83	76	73	75	74	72	86	101	88	78	89	92	72	71	91	95	85	80	101	102	76	70	93	94	88	81	93	104	84	74	87	91	90	89	95	98	91	80	89	85	89	92	96	92	91	75
457	76	76	77	74	75	77	78	79	77	80	73	74	72	77	72	72	85	98	86	73	73	75	72	69	83	95	87	72	91	91	71	66	93	91	84	78	99	101	75	69	90	88	92	76	91	104	81	74	88	92	90	89	94	97	89	79	88	87	87	90	93	90	90	79
457	72	73	74	76	74	79	81	82	76	72	76	76	76	81	80	78	78	78	78	74	77	98	98	74	79	79	93	80	80	96	95	77	77	89	102	79	82	89	87	80	79	89	105	89	96	92	96	92	79	91	96	95	94	90	92	86	73	96	97	98	86	91	89	88
458	74	73	78	77	77	78	80	83	78	73	74	78	77	82	79	78	76	78	76	76	76	97	100	81	75	82	95	77	78	97	103	79	82	88	105	81	84	92	96	85	81	93	106	91	98	94	99	89	80	94	99	97	92	93	91	87	78	92	94	102	86	87	87	85
458	73	73	78	76	78	77	81	81	79	75	77	74	77	80	74	78	76	79	75	75	75	87	91	79	77	79	95	79	81	96	101	77	78	87	100	81	81	88	94	78	80	93	104	91	88	95	95	88	84	95	98	96	99	94	92	92	76	99	95	99	87	93	87	88
458	73	74	74	77	74	77	78	79	76	73	72	73	75	74	77	72	73	78	75	76	71	88	91	75	75	83	91	72	75	93	101	77	79	86	103	78	81	85	93	81	78	92	101	90	92	93	95	88	82	90	98	93	95	90	91	87	80	90	94	96	87	88	87	85
458	70	68	76	72	75	75	79	80	74	73	69	74	71	77	76	76	75	71	72	73	72	88	96	73	74	78	90	75	77	94	97	77	78	83	99	78	76	86	91	82	75	92	100	87	92	90	97	86	82	89	92	94	94	88	89	84	77	90	92	100	88	89	87	89
459	72	72	77	72	72	78	77	80	74	72	71	74	73	76	73	74	75	75	75	77	74	86	96	80	76	81	92	73	75	93	100	78	77	88	100	80	79	85	91	83	81	92	102	87	91	90	94	90	79	92	93	96	94	91	93	86	77	91	92	96	88	92	89	88
459	77	72	78	76	76	76	79	84	75	73	74	72	70	76	79	75	78	77	76	74	74	89	95	76	74	78	91	73	78	92	103	80	80	87	102	81	78	84	95	81	80	93	102	90	91	94	93	91	78	93	95	94	93	89	92	86	78	97	96	100	90	86	92	87
460	71	76	78	74	75	79	81	83	78	74	76	77	76	82	77	75	79	75	77	74	74	90	93	75	82	82	94	75	78	94	105	78	82	88	104	78	81	89	95	82	79	92	105	88	95	94	96	87	79	94	98	96	96	95	92	90	85	99	96	97	88	91	87	84
460	74	75	77	76	77	78	80	81	74	75	73	76	77	76	76	76	75	78	78	75	73	89	93	77	74	81	95	76	80	94	103	78	82	91	100	80	80	88	95	81	82	94	104	89	93	94	94	91	79	93	99	96	95	90	92	84	86	93	96	99	89	91	90	87
460	71	74	73	74	74	79	79	83	76	71	73	74	72	78	76	71	74	76	71	77	74	90	90	76	75	82	92	74	79	93	98	75	77	90	100	78	78	89	89	80	75	93	102	88	92	96	94	84	77	92	97	97	93	91	90	85	76	93	93	97	83	87	87	85
460	75	73	72	79	74	80	78	83	75	71	71	73	76	76	75	76	72	78	78	72	73	90	94	79	77	82	90	73	77	94	100	75	78	87	101	78	80	87	94	79	79	94	103	89	93	93	97	92	78	94	96	94	96	92	89	91	76	93	95	98	86	91	87	84
460	70	73	72	75	74	80	79	78	76	70	71	77	72	75	74	76	71	78	75	74	73	86	95	77	80	81	93	74	77	93	103	77	74	90	99	78	77	85	92	81	77	91	102	87	88	89	94	86	83	94	95	94	94	92	94	85	81	97	91	97	84	88	89	86
460	71	75	77	73	74	80	81	78	82	73	77	73	77	77	78	76	77	77	78	77	74	86	96	79	78	85	92	78	80	96	101	79	77	91	101	80	77	86	95	79	79	93	102	90	90	92	94	91	79	91	96	96	93	91	90	88	73	90	94	99	88	88	87	87
461	72	73	78	77	74	78	80	81	77	70	74	77	75	75	77	75	76	77	73	75	75	86	93	80	78	84	92	78	76	97	103	79	78	89	100	79	79	88	97	80	74	91	102	89	91	91	92	88	83	94	97	95	95	90	92	88	80	91	96	98	84	88	89	84
461	74	71	78	77	76	81	79	77	80	74	75	74	76	80	78	73	77	75	75	75	73	84	87	77	77	81	92	76	76	94	101	79	78	91	100	77	79	90	98	82	75	92	100	90	86	93	90	92	77	93	99	93	95	90	90	90	73	92	94	98	86	90	91	85
461	72	70	75	75	72	80	79	78	73	70	71	68	74	76	79	71	73	74	75	74	71	87	98	79	76	81	90	74	76	90	101	81	79	88	97	75	78	84	92	80	79	92	103	86	90	94	93	90	80	92	95	96	92	88	90	85	78	95	96	98	86	85	89	87
461	71	71	73	71	72	77	75	77	72	69	69	73	68	76	73	73	70	72	70	73	71	86	96	81	74	77	89	72	74	87	97	79	75	86	97	72	77	81	91	80	76	92	99	85	88	89	94	89	83	88	94	95	90	87	91	85	75	93	91	95	84	87	88	84
461	72	70	74	71	73	72	75	74	71	68	69	72	69	73	72	74	72	75	72	70	69	72	86	84	74	76	86	68	72	72	94	92	73	83	92	72	74	75	88	89	73	88	97	82	80	90	88	91	79	92	92	90	91	86	88	86	76	91	93	97	84	83	90	89
461	62	71	74	73	75	76	75	83	73	71	74	74	74	79	74	76	76	73	74	71	76	95	92	73	76	81	90	74	77	95	93	71	75	91	100	76	82	84	89	78	80	89	103	85	91	93	94	89	79	92	97	96	90	88	91	87	76	94	91	98	84	87	92	88
461	72	71	74	73	75	81	76	80	75	72	72	75	74	84	76	78	72	75	74	74	74	97	94	77	72	83	87	74	80	98	95	77	77	94	96	76	82	88	90	82	75	91	99	89	90	90	90	92	81	91	94	92	89	90	89	85	79	95	97	95	85	86	85	85
461	65	67	73	72	69	72	76	77	73	72	70	74	70	78	74	69	69	70	74	68	70	77	81	69	75	84	82	73	72	86	95	74	82	93	92	74	76	79	91	72	76	91	100	81	86	90	91	85	80	91	92	94	91	86	87	84	80	93	92	93	82	81	85	88
461	70	68	68	69	67	71	76	76	66	65	69	66	69	73	69	69	72	74	72	72	68	75	96	81	75	82	87	72	73	79	97	85	76	93	93	72	75	81	89	82	75	90	98	82	87	90	92	88	80	92	95	92	87	88	91	88	79	95	93	95	83	85	88	82
461	67	66	70	73	73	73	79	79	69	72	69	71	69	75	71	72	76	75	72	71	70	83	88	73	75	84	81	72	75	90	97	72	78	95	91	76	74	84	86	78	78	96	97	85	90	90	91	88	80	89	94	91	91	87	88	85	76	91	92	97	82	82	87	85
461	75	67	74	72	73	74	77	78	71	70	70	73	71	77	76	70	73	74	74	75	71	95	93	73	75	85	87	75	77	94	95	74	76	93	93	78	76	82	88	76	78	91	98	83	92	93	93	85	79	93	94	92	89	86	85	84	76	99	91	93	81	85	86	82
461	71	69	74	72	72	75	77	78	77	70	72	72	71	80	74	74	73	73	72	70	73	87	92	72	78	83	84	73	76	90	99	75	80	96	96	77	77	83	88	78	73	96	97	83	90	93	93	89	79	94	92	91	90	87	89	85	74	93	90	94	81	83	84	88
461	71	71	73	74	73	78	77	77	75	71	72	71	72	81	80	75	74	75	76	71	71	95	99	79	76	85	85	74	76	87	95	79	81	93	92	76	82	83	92	81	77	93	97	85	91	94	89	90	82	96	96	95	92	88	87	87	74	95	94	98	80	89	86	85
