single subject; eight feet; indoors
==========
480	66	69	73	68	68	72	72	70	75	68	72	68	69	73	68	68	69	73	67	73	65	68	69	70	71	67	70	71	72	75	70	67	73	70	73	73	78	83	73	70	68	72	70	76	77	78	73	70	72	72	73	74	77	75	70	69	76	69	70	71	71	69	65	63
480	71	66	74	67	70	71	71	71	73	66	71	66	69	68	71	67	76	71	70	67	67	66	71	69	74	72	71	69	69	70	71	67	77	70	72	74	78	83	74	71	71	69	70	70	78	75	69	68	72	72	69	73	78	71	69	68	73	67	68	73	70	72	66	70
480	73	70	73	71	72	70	70	68	71	68	69	68	68	70	69	67	69	69	73	70	65	67	71	71	73	73	71	69	68	73	67	66	74	72	70	70	79	81	71	71	69	72	69	72	75	76	69	65	71	67	69	74	76	71	69	69	73	68	68	70	72	69	70	65
480	72	66	69	69	70	73	69	64	69	68	68	69	65	72	68	68	67	68	70	68	65	64	68	67	74	70	70	68	69	71	70	68	75	72	71	73	76	80	71	65	70	70	70	69	77	74	67	66	70	72	68	72	72	69	69	69	72	69	69	71	70	71	67	68
480	73	66	71	71	69	75	69	70	73	68	67	72	68	71	71	70	69	69	69	68	62	66	69	71	73	67	68	69	70	72	71	70	75	72	70	71	80	84	69	70	71	70	73	72	78	79	72	73	72	72	67	73	77	71	69	65	71	72	67	74	69	68	69	64
481	70	69	72	73	68	75	72	70	70	68	74	67	69	71	70	69	71	67	71	69	65	67	67	67	70	73	74	71	72	73	70	68	77	76	71	72	80	83	72	71	72	69	71	72	78	79	72	71	73	75	70	75	74	72	67	71	71	72	72	71	74	70	69	66
481	74	70	72	71	70	72	70	68	73	71	69	72	67	71	70	74	73	70	71	72	65	67	70	69	74	71	69	71	73	75	73	68	77	75	72	73	75	79	74	71	74	71	71	74	80	79	74	69	74	73	72	71	79	72	72	68	72	73	67	76	71	70	67	70
481	68	67	68	65	65	70	65	68	69	64	64	65	63	67	62	61	66	66	69	62	58	59	63	64	68	63	63	64	62	70	64	64	72	67	65	65	74	77	68	65	65	65	65	65	69	78	67	65	72	66	64	70	72	71	65	63	70	68	62	65	67	65	68	59
481	70	63	66	65	68	70	65	68	74	68	69	67	67	68	68	66	65	68	67	67	61	64	65	65	73	73	68	69	67	76	67	68	72	68	70	68	73	78	73	70	68	69	65	69	70	80	70	68	68	67	65	69	71	70	64	65	67	70	66	68	72	68	68	61
481	69	66	65	68	65	71	69	65	67	65	61	65	63	67	65	60	68	66	70	63	63	62	68	63	71	70	67	69	67	71	66	65	73	70	68	66	70	81	67	67	64	71	66	68	69	77	70	70	67	66	68	70	71	71	63	63	69	68	73	66	71	67	65	69
480	69	70	70	68	70	71	65	71	71	69	70	68	66	70	69	70	73	73	68	69	66	70	68	65	70	70	68	67	84	69	65	67	76	72	69	74	84	75	68	71	70	72	72	69	83	71	70	64	71	67	66	74	72	67	66	67	75	69	65	67	69	65	69	65
481	69	68	70	69	66	70	68	69	71	67	70	67	65	71	67	68	70	70	68	68	65	67	68	67	74	68	72	71	87	70	67	69	74	72	74	73	85	73	71	64	72	69	70	70	82	72	68	69	69	69	65	74	74	68	62	64	72	72	69	69	70	71	68	67
481	66	70	73	71	70	76	67	67	72	71	67	70	69	70	70	71	69	73	70	70	65	70	70	70	77	71	71	73	84	72	70	72	78	76	72	74	89	76	70	69	71	71	71	70	84	71	70	70	73	70	68	72	78	70	67	67	75	70	72	72	76	70	71	67
482	73	69	74	74	71	74	72	69	70	71	74	71	68	71	68	71	71	72	71	69	68	70	69	73	75	76	73	76	83	73	72	69	75	74	74	78	85	77	73	71	71	71	71	75	83	75	69	68	72	72	72	75	74	70	67	69	77	67	70	72	70	71	66	67
481	72	72	73	70	73	75	69	72	75	69	70	71	69	74	70	71	73	72	73	68	70	67	72	66	72	71	70	69	83	71	67	67	78	74	72	75	87	76	73	72	74	73	74	73	84	75	70	69	73	69	67	72	74	70	65	66	73	77	69	76	75	70	67	66
481	75	70	70	67	69	73	69	71	74	71	71	69	70	71	71	68	74	71	67	69	68	70	68	72	76	71	72	69	83	70	71	67	77	71	70	76	87	75	70	69	70	71	71	71	81	74	70	69	70	71	71	70	73	69	70	69	77	70	72	74	69	70	70	66
481	70	73	73	71	68	77	72	71	73	68	65	71	69	74	72	69	75	70	71	70	69	72	71	68	79	75	72	73	89	72	70	68	73	70	69	75	84	75	70	71	72	71	71	73	81	74	70	71	72	71	70	73	74	71	67	73	74	72	67	70	72	70	70	69
481	72	70	73	70	70	72	71	70	74	70	70	69	69	75	73	67	72	73	72	71	68	72	70	73	70	73	72	70	85	75	71	69	72	73	73	75	85	77	75	67	77	72	73	71	83	74	70	67	74	75	73	73	77	71	70	70	79	77	75	74	74	75	76	67
481	75	73	69	72	71	72	69	70	74	69	69	67	68	70	69	67	70	71	72	69	69	72	71	71	75	72	74	72	83	72	68	68	72	75	71	74	86	77	68	65	70	72	73	75	83	75	67	67	73	74	67	75	73	72	70	67	80	71	72	74	71	71	74	65
482	72	74	73	72	69	70	73	71	75	69	69	74	71	71	70	70	73	73	73	72	67	73	70	71	76	73	74	72	85	76	71	68	75	76	73	74	86	77	72	69	72	73	74	74	85	76	72	70	71	72	74	74	77	69	71	70	76	77	71	74	74	74	71	72
481	75	69	77	70	72	71	70	67	73	73	72	73	70	76	68	72	71	78	72	71	69	72	71	70	81	74	75	74	89	74	72	71	77	76	74	77	87	78	74	71	72	74	74	73	83	75	71	72	75	71	74	71	77	71	70	69	75	75	70	74	75	74	71	68
482	70	72	71	74	68	75	72	73	73	69	72	68	71	75	71	68	74	73	72	69	67	70	70	69	74	71	71	74	87	74	71	72	81	76	73	77	87	77	74	71	73	73	75	72	84	73	73	69	74	71	73	73	78	68	74	66	74	69	72	71	73	68	68	66
482	72	70	74	73	71	75	70	72	72	70	67	71	67	74	70	70	75	74	74	69	70	72	72	70	77	76	75	72	88	74	72	69	76	74	73	76	88	79	71	68	75	77	74	75	85	76	72	73	72	72	72	73	76	70	68	68	76	73	71	75	72	73	70	67
